Datetime,Username,Text,Clean_Text,Preprocess_Text
2022-06-19 23:58:59+00:00,bofkuto,@paiwmon mangat hari senin nya yank 👊👊👊 jangan lupa sarapann,mangat hari senin nya yank jangan lupa sarapann,"['mangat', 'senin', 'nya', 'yank', 'lupa', 'sarapann']"
2022-06-19 23:58:57+00:00,Seno_Medika,"Assalamualaikum
Hallo Ayah &amp; Bunda #sobatseno
sekarang di Klinik Pratama Seno Medika
ada jadwal KHITAN SIANG periode bulan Juni 2022.
Setiap Hari Senin, Rabu &amp; jumat Mulai pukul 13.00- Selesai .
#klinikkhitanbandung #klinikkhitan #khitanbandung https://t.co/hKsz4vEGyM",assalamualaikumhallo ayah amp bunda sekarang di klinik pratama seno medikaada jadwal khitan siang periode bulan juni setiap hari senin rabu amp jumat mulai pukul selesai,"['assalamualaikumhallo', 'ayah', 'amp', 'bunda', 'klinik', 'pratama', 'seno', 'medikaada', 'jadwal', 'khitan', 'siang', 'periode', 'juni', 'senin', 'rabu', 'amp', 'jumat', 'selesai']"
2022-06-19 23:58:51+00:00,hyuunmee,"@xvldn_sugar Wahh sama dik😔
Semangat menjalani hari senin ini ya dik😉 jangan lup sarapan, okay?😉",sugar wahh sama diksemangat menjalani hari senin ini ya dik jangan lup sarapan okay,"['sugar', 'wahh', 'diksemangat', 'jalan', 'senin', 'iya', 'dik', 'lup', 'sarap', 'okay']"
2022-06-19 23:58:46+00:00,ditaengo_,"Dlu senin berasa nyeremin dan bikin stress bhkan stressnya udh dr hri minggu malam,skrg udh biasa2 aja bhkan sering lupa skrg hari apa dan tanggal brp kalo gk cek hp 😩",dlu senin berasa nyeremin dan bikin stress bhkan stressnya udh dr hri minggu malamskrg udh biasa aja bhkan sering lupa skrg hari apa dan tanggal brp kalo gk cek hp,"['senin', 'asa', 'nyeremin', 'bikin', 'stress', 'bhkan', 'stressnya', 'dr', 'hri', 'minggu', 'malamskrg', 'bhkan', 'lupa', 'tanggal', 'gk', 'cek', 'hp']"
2022-06-19 23:58:45+00:00,ebenSiburian,"Monday 20222006. No insulation test. No Work On Regular Basis Schedule. Senin Kelabu, yok mari turu.",monday no insulation test no work on regular basis schedule senin kelabu yok mari turu,"['monday', 'no', 'insulation', 'test', 'no', 'work', 'on', 'regular', 'basis', 'schedule', 'senin', 'kelabu', 'yok', 'mari', 'turu']"
2022-06-19 23:58:42+00:00,ulookscrazy,Senin pagikuuuuu https://t.co/zhMPbBfXgm,senin pagikuuuuu,"['senin', 'pagikuuuuu']"
2022-06-19 23:58:41+00:00,PT_Transjakarta,@wildlife791 @Mitsu_24natsu Pagi kak. tersedia rute T11: Bundaran Senayan - Poris Plawad yang beroperasi normal hanya di hari kerja (Senin-Jumat) mulai pukul 05:00-10:00 WIB dan beroperasi kembali pada pukul 15:00 WIB hingga pukul 20:00 WIB dari Poris dan sekitar pukul 21:00 WIB dari Polda. Terima kasih ^TH,natsu pagi kak tersedia rute t bundaran senayan poris plawad yang beroperasi normal hanya di hari kerja seninjumat mulai pukul wib dan beroperasi kembali pada pukul wib hingga pukul wib dari poris dan sekitar pukul wib dari polda terima kasih th,"['natsu', 'pagi', 'kak', 'sedia', 'rute', 't', 'bundar', 'senayan', 'poris', 'plawad', 'operasi', 'normal', 'kerja', 'seninjumat', 'wib', 'operasi', 'wib', 'wib', 'poris', 'wib', 'polda', 'terima', 'kasih', 'th']"
2022-06-19 23:58:38+00:00,puteriaji,macetnya senin pagi gaada lawan,macetnya senin pagi gaada lawan,"['macet', 'senin', 'pagi', 'tidak ada uang', 'lawan']"
2022-06-19 23:58:33+00:00,xnananon,"Pagi moots, hari senin nih semangat!",pagi moots hari senin nih semangat,"['pagi', 'moots', 'senin', 'semangat']"
2022-06-19 23:58:33+00:00,luvma_self,Dah senin aje,dah senin aje,"['deh', 'senin', 'aje']"
